               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065042,            0.029278,                   0,             0.44839,             0.25191,             0.21876,             0.09285,            0.017969,            0.013997,                   0,            0.070588,            0.003268,            0.003268
                   1,            0.042961,            0.023114,                   0,             0.45625,              0.4676,             0.47074,             0.19111,            0.024062,           0.0085527,                   0,            0.040261,           0.0062745,           0.0062745
                   2,            0.036434,            0.018207,                   0,             0.64894,             0.66412,             0.70259,             0.36206,            0.021518,           0.0053645,                   0,           0.0096047,           0.0089511,           0.0089511
                   3,            0.037121,            0.016149,                   0,             0.81503,             0.73282,             0.86783,             0.46095,            0.013973,           0.0045495,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.031006,            0.016491,                   0,             0.64529,             0.70992,             0.72551,             0.34644,            0.017225,           0.0041748,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.028138,            0.016156,                   0,             0.79874,             0.60305,             0.68575,             0.29871,            0.017543,           0.0043987,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.026789,            0.015402,                   0,             0.85279,             0.79599,             0.84659,             0.43739,            0.013765,           0.0036391,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.025686,            0.014359,                   0,             0.90551,             0.95104,             0.97623,             0.52425,            0.011435,            0.003373,                   0,             0.00703,             0.00703,             0.00703
                   8,             0.02182,            0.014771,                   0,              0.9591,             0.89506,             0.96938,             0.48846,            0.012891,           0.0031429,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.021041,            0.013393,                   0,             0.96214,              0.9701,              0.9892,              0.5545,            0.010833,           0.0028511,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.021933,            0.013178,                   0,             0.98412,             0.94611,             0.99202,             0.55821,             0.01046,           0.0027988,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.019481,            0.013071,                   0,             0.95404,             0.93893,              0.9867,             0.55184,            0.010676,           0.0027512,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.019549,            0.013112,                   0,             0.97681,              0.9771,             0.98912,             0.55902,             0.01031,           0.0026743,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.018133,            0.012511,                   0,             0.99563,             0.96947,              0.9941,             0.57135,           0.0099925,           0.0026764,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.017457,            0.012226,                   0,                   1,             0.97256,             0.99419,             0.58352,            0.009733,           0.0029108,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.017017,            0.012411,                   0,             0.99437,             0.98473,             0.99492,             0.60437,           0.0091831,           0.0026754,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.016343,            0.012499,                   0,             0.98462,             0.97741,             0.99462,             0.61193,           0.0090362,           0.0025743,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.017725,            0.012391,                   0,             0.99235,             0.98978,             0.99485,              0.6034,           0.0089848,           0.0025467,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.017076,            0.011917,                   0,              0.9974,             0.99237,               0.995,             0.60503,           0.0089524,           0.0025319,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.01648,            0.011358,                   0,             0.99863,             0.99237,               0.995,             0.61491,           0.0090089,           0.0025203,                   0,             0.00109,             0.00109,             0.00109
