               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051001,            0.025943,                   0,             0.78418,             0.74014,             0.81433,             0.44181,            0.013129,           0.0081437,                   0,            0.070191,           0.0033121,           0.0033121
                   1,            0.032834,            0.017544,                   0,             0.45521,              0.7963,             0.59585,             0.29618,            0.017954,           0.0047383,                   0,            0.039752,           0.0062068,           0.0062068
                   2,            0.029846,            0.015465,                   0,             0.88253,             0.90431,             0.93484,             0.54918,            0.011997,             0.00367,                   0,           0.0088739,           0.0086616,           0.0086616
                   3,            0.024689,            0.014353,                   0,             0.99351,             0.98148,             0.99464,             0.69013,           0.0080628,           0.0031062,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.022135,            0.013763,                   0,             0.98172,             0.99458,             0.99482,             0.70954,           0.0075452,           0.0026273,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.019133,            0.012956,                   0,             0.99906,                   1,               0.995,             0.70431,           0.0082235,           0.0026783,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.018649,            0.012444,                   0,             0.99853,                   1,               0.995,             0.70218,           0.0076029,           0.0026036,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.016916,             0.01196,                   0,             0.99911,                   1,               0.995,             0.76988,           0.0065422,           0.0021462,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.016104,            0.011443,                   0,             0.99807,                   1,               0.995,             0.74858,            0.006448,           0.0022782,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.015172,            0.011443,                   0,             0.99941,                   1,               0.995,             0.75673,           0.0063561,            0.002113,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.014366,            0.010978,                   0,             0.99845,                   1,               0.995,             0.75424,           0.0064485,           0.0022337,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.013652,            0.010956,                   0,             0.99878,                   1,               0.995,             0.77281,           0.0059667,           0.0019896,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.013665,            0.010635,                   0,             0.98955,                   1,             0.99491,             0.76834,           0.0060945,           0.0020699,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.012542,            0.010608,                   0,             0.98989,                   1,               0.995,             0.78232,           0.0058756,           0.0020226,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.012496,            0.010384,                   0,             0.99984,                   1,               0.995,             0.78569,           0.0057409,           0.0019459,                   0,             0.00142,             0.00142,             0.00142
